Sentence,label
"मैं नहीं कर सकता, मुझे जाना है।",0
"सुनो, मैंने आपका पता भूल गया है, क्या आप मुझे कॉल कर सकते हैं?",0
अचानक फोन बजने लगता है।,0
पिछले रात! मैं सिर्फ यह महसूस किया और मैं Joey के कमरे में गया और वह सो रहा था,1
मैंने पहले ही उसे खिला दिया था।,0
"मैं? ओह, नहीं, मैं एक अभिनेता नहीं हूँ।",6
"एक ऐसे व्यक्ति के रूप में, जिसने अपने अच्छे हिस्से से अधिक bad beef को देखा है, मैं आपको बता दूँगा कि यह कोई भयानक बात नहीं है।",0
"हम वास्तव में हमारे अनुसंधान चक्रों में से एक के अंत में हैं, तो हम अभी आवेदकों की खोज नहीं कर रहे हैं।",0
मैं यह पता नहीं कर सकता!,2
यह अजीब है।,3
"हं, हं!",0
मैं आपको इस विभाग में एक सहायक खरीदार बना दूँगा।,0
क्या आप निश्चित हैं कि आप यह करना चाहते हैं?,0
क्या हो गया!,3
"ओह, यह रेचेल के बारे में पागल है हू?",3
क्या! क्या यह कोई भी करने के लिए जा रहा है क्या अच्छा है?,2
"ओह भगवान, तुम मसखरा कर रहे हो?",3
"लेकिन यह $2,000 है।",3
हाँ. हाँ.,0
"हू, हू, हू, इंतजार, हू.",3
"रॉस, मैं तुम्हें बता रहा हूँ कि वह मेरी ओर वापस आने के लिए आप का उपयोग कर रही है!",2
"अच्छा, तुम ठीक लगते हो।",0
"ओह, जोय! क्षमा करें!",3
"हाँ, मेरा मतलब है कि मैं पूरे रात बीमार था।",0
"ठीक है, हं, हम एक दूसरे को लंबे समय से नहीं जानते हैं, और, हं, वहाँ तीन बातें है कि आप मेरे बारे में जानना चाहिए है।",0
"तो, आप बच्चे अभी खा चुके हैं?",0
"ठीक है! आदमी, यह अविश्वसनीय है! मेरा मतलब है, यह है",3
मैं अपने दोस्त के चेहरे पर आकर्षित करने के लिए आपके पेन का उपयोग किया.,0
"ठीक है, चलो।",1
"और फिर भी हं, मैं समुद्र में दूर हो जाएगा।",2
यह कोई बुरा विचार नहीं है।,0
"महान! ठीक है, यहाँ।",1
नहीं नहीं नहीं नहीं!,5
हाय!,2
"हाँ, अच्छी तरह से आप अच्छा होता है अगर आप सिर्फ अपने नितंबों को थोड़ा कम करने के लिए.",0
यह एक glaucoma परीक्षण है।,0
कै!,0
"आप जानते हैं, हम वास्तव में शहर में रहने का लाभ नहीं उठाते।",0
मैं तेज नहीं करूंगा।,0
"और, दूसरे समय, तारीख के अंत में, उसने-वह कुछ कहा था-यदि वह हँस रही थी, तो यह बहुत हास्यास्पद था।",0
तुम ठीक हो?,0
"सब मैं सोच सकता था y’know था, ""क्या वह मुझे चुंबन करने के लिए जा रहा है? क्या वह मुझे चुंबन करने के लिए जा रहा है?""",1
"वा! आप यह महसूस कर रहे हैं कि हम एक घंटे के लिए यह गेंद डालने के बिना, फेंक रहा है?",3
अच्छा. मैं वास्तव में टोपी पहनना शुरू करना चाहिए!,0
हाँ. एक उँगली के साथ! जी-ई-ई-ईज़!,1
अरे भगवान! तुम यहाँ क्या कर रहे हो?,3
"वैसे भी, मैं जाना चाहिए. ठीक है, विदा.",0
आपका नाम नहीं!,4
"मेरा मतलब है, कि उपयोग में आ गया है",0
"हाँ-हाँ, यह है",0
"मैं यहाँ दोपहर का भोजन कर रहा हूँ, मेरे अच्छे दोस्त Joey के साथ, अगर वह मेरे साथ बैठ जाएगा।",0
मैं यह कैसे स्वीकार कर सकता हूँ...,4
"रॉस, मैं 23 साल से तलाक़ के वकील रहा हूँ और कभी भी मैं एक ग्राहक से इतना व्यापार नहीं किया था.",0
हाँ.,4
नहीं!,1
इससे पहले कितने वास्तव में जीत गए थे?,0
"और ओह, लियम, लियम के खराब घुटनों के पास है. आप उसे सही मारा और वह एक लैम्प की तरह नीचे जा जाएगा.",0
क्योंकि तुम उसके साथ नहीं होना चाहिए. तुम मेरे साथ होना चाहिए.,4
"अच्छी तरह से, जेमी Susan का पहला girlfriend का नाम था, तो हम वापस Jordie के लिए चला गया.",0
"ओह, महान!",1
आप पॉल से मिलना बहुत अच्छा है।,1
"वाह. ओह, मैं वास्तव में flattered हूँ, लेकिन मैं सिर्फ मैं तुम के बारे में ऐसा नहीं लगता है।",3
मैंने सोचा था कि मैंने तुमसे कहा था कि यहाँ से निकल जाओ!,2
"लेकिन यह दूसरा लड़की, ठीक है, वह शहर के ऊपर रहता है।",0
क्या तुम डरते हो कि तुम बाहर निकल जाओगे?,2
"हाँ, मैं सिर्फ घर जा सकता हूँ और अपने आप से उसके पास वापस मिल सकता है।",0
क्या तुमने देखा नहीं कि वह अलग-अलग कपड़े पहन रही है?,3
क्या यह एक अच्छा संकेत है कि उन्होंने हमें ऑडिशन के बाद चारों ओर घूमने के लिए कहा है?,3
किसके साथ?,0
ओह हाँ? आप क्या करने जा रहे हैं?,2
"आप क्या करना चाहिए पता है, सिर्फ 'उन्हें शीडर में डाल दिया और दावा तुम कभी 'उन्हें नहीं मिला.",0
"ओह, जॉर्ज, बच्चा, रुमाल छोड़ो!",1
अच्छा लगता है।,0
चलो!,3
देखो!,2
"ओह, भगवान्।",3
"यह मैं हूँ, जोय!",1
यह ठीक था।,0
"वैसे भी, वे हमें शनिवार की रात बाहर ले जाना चाहते हैं! आप क्या कहते हैं?",1
तुम मुझे मिला.,0
मुझे खेद है.,4
"कृपया, अभी, नहीं, हर बार जब मैं उसे देखता हूँ तो यह लगता है कि यह घाटे पर है? यह मुझे देख रहा है?",5
"तो आप कह सकते हैं, रिंग अपरिवर्तनीय है?",3
चलो अपने घर जाकर देखो।,0
"हाँ, हर रविवार की रात मैं अपने आप से कह रहा हूँ कि मैं छोड़ रहा हूँ लेकिन हर सोमवार सुबह यह जैसे है",6
"आप लोग स्कॉच करेंगे, आप नहीं?",0
"लगता है, वहाँ एक लाख आदमी बाहर है कि मैक खेल सकता है, और वहाँ सिर्फ इस एक रोबोट और इस एक आदमी है जो इसे नियंत्रित करता है!",3
"नहीं, नहीं, मैं अभी भी mine पर काम कर रहा हूँ।",0
क्या आप एक क्षण रुक सकते हैं? मेरे पास एक और कॉल है. मैं उसे प्यार करता हूँ.,1
"ओह, hey, देखो, मैं कॉफी मिला! ठीक है, चलो स्केडाडल।",0
यह मेज के नीचे चला गया।,0
मेरे अंतिम जन्मदिन के लिए तुम मुझे एक दिया,0
ठीक है! ठीक है!,1
हम ऐसा क्यों करेंगे?,3
हो गया!,1
"उम्, यह ठीक है! ठीक है. ठीक है. अब हम एक धार्मिक आदमी की वीर्य की जरूरत है.",1
शशश!,0
"हाँ, उसे बर्खास्त किया गया है।",0
तुम्हें याद है कि तुमने कहा था कि तुम कविता के बारे में सचमुच गहरे थे? ओह.,0
"मैंने किया, लेकिन यह वास्तव में बहुत मजेदार था।",1
वह मुझे क़त्ल करने की कोशिश कर रही है?,2
"जान लो, पक्षियों के पास दिशा की एक बहुत अच्छी भावना है, और मैंने सोचा कि शायद वे हमें पता लगाने में मदद कर सकते हैं जहां वर्तमान छुपे हैं।",0
"ठीक है, तुम जाओ!",2
"क्या? एक मिनट रुको, मैंने नहीं भुगतान किया, मैंने सोचा था कि आपने भुगतान किया!",0
अच्छा है।,1
मैं वास्तव में है,0
तू?,0
"देखो, रेशेल ने मुझे बताया है कि आप इस सब को उस पर बहुत आसान कर दिया है. क्यों आप मेरे लिए ऐसा नहीं कर सकते?",2
"हाँ, हम निश्चित रूप से उन हैसिड जेवर्स softball के बारे में एक या दो बात दिखा दी..",1
चंडलर! Phoebe खेल खोखला रहा है!,2
लिफ्ट! और स्लाइड!,1
"यह मजाक है, हाँ!",1
अपने जूते की तरह।,0
ओह हाँ! ओह मेरे भगवान! यह है,3
"अच्छा देखो, मेरे पास एक विचार है।",0
"सुनो, नाटक आलोचक वे कुछ भी नहीं हैं लेकिन, लेकिन वे लोग हैं जो अभिनेताओं के रूप में यह नहीं कर सका. आप जानते हैं कि आप क्या करना चाहिए?",1
आप निश्चित हैं? आप बिलकुल निश्चित हैं?,0
"हाँ, अच्छी तरह से, आप यह सही नहीं लगता है अगर आप ग्यारह साल के हैं और अपने सभी मित्र 'मिस्र्स बिच' की पृष्ठ 79 के आसपास गुजर रहे हैं.",6
जीना कौन है?,0
मैं तुम्हें नहीं कहूँगा! आप Sarah की टांग तोड़ने वाले बुरे आदमी हैं.,2
"आपको यह जानना चाहिए कि हम यह फ्रैंक और एलिस के लिए कर रहे हैं, जिन्हें आप जानते हैं, आप वहाँ थे!",1
मैं भी ऐसा किया था।,0
यह बस एक बेंड-एड निकालने की तरह है।,0
मैं कोशिश करूँगा।,0
... हाँ?,0
"नहीं! नहीं-नहीं, मैं इसे पसंद करता हूँ. धन्यवाद.",1
"नहीं, नहीं ""आप कैसे कर रहे हैं?"" आदमी, मेरा मतलब है, पहले एक कप भी कॉफी नहीं!",6
"अब आप ऐसा करते हैं, आप टी. वी. पर हैं।",0
मुझे सचमुच खुशी है कि हम आये. तुम बहुत सुंदर हो. मैं तुम्हें प्यार करता हूँ.,1
"ठीक है, जिराफा ठीक है. और है कि समुद्री pirate.",0
"ओह, ठीक है, धन्यवाद, लेकिन, मैं ठीक हूँ, सचमुच.",1
मुझे विश्वास नहीं है कि आप मोनिका से आप से शादी करने के लिए कह रहे हैं!,1
पिता?,0
मैं आशा करता हूँ कि यह आप है।,0
ओह. हाँ. हं. मुझे लगता है कि मैं यहाँ रहने के लिए जा रहा हूँ.,6
"ठीक है, क्योंकि हम समझते थे कि आप जानते हैं!! यह इतना स्पष्ट है! भगवान, कि मोनिका को बताने की तरह होगा, ""हे, आप चीजों को साफ पसंद करते हैं.""",0
"तो? आप दोनों की बधाई, मुझे पता भी नहीं था कि आप शादी हुई.",3
मुझे लगता है कि चेक इन इस तरह है।,0
"ओह, यह बहुत अच्छा होगा!",1
"हाँ, मैं समझता हूँ कि",0
"यह यहाँ से 10 ब्लॉक्स था और, और, महिला रात में अकेले चलते थे, मैं ऐसा कभी नहीं कर सकता था।",4
"हं, चंडलर, रोस, यह रॉबर्ट है।",0
तुम धोखे में पड़ो!,1
"හේ, आप जोय का एक काम करना चाहते हैं, शायद आप जोय के साथ बाहर जाओ.",0
"हाँ, वह है।",0
"नहीं, यह डाना कैप्लिन था।",0
"क्योंकि मैंने उसे बैंक में पाया था, वह अभी भी बहुत प्यारा है।",1
चंडलर!,3
"तो तलाक़, शादी, हमें बहुत कुछ मनाना है।",1
मैं तुमसे कुछ पूछ सकता हूँ? क्या तुम कभी किसी आदमी ने तुम पर प्यार किया है?,0
मुर्दों से बुरा न कहो।,2
ओह. शायद वे-Napping कर रहे हैं.,0
"ओह नहीं नहीं नहीं नहीं, यह सिर्फ एक सप्ताह में एक रात है, और प्लस मैं तुम सब के लिए बाहर ले जाने के लिए मिलता है",0
चंडलर अद्भुत है!,1
"बेन, मैं तुम्हें जानना चाहता हूँ कि कुछ समय हो सकता है जब मैं यहाँ नहीं हो सकता है, इस तरह.",4
"क्या, तुम वास्तव में सोचा था कि यह मुझे बेहतर महसूस करता है मुझे चीजें कि मैं एक और दो महीनों के लिए उपयोग नहीं कर सकता मुझे देने के लिए!",2
इस तथ्य की तरह महत्वपूर्ण नहीं है कि Phoebe ने बच्चों की देखभाल पूरी तरह से स्वयं की।,0
"Hey Joey, मैं तुम्हारे लिए कुछ बियर मिला है.",0
खोलें! खोलें! खोलें!,1
वाह! सही!,1
"हाँ, बहुत धन्यवाद. और फिर से, हम बहुत खेद है. हम इस बारे में बुरी तरह महसूस नहीं कर सकते थे.",1
"मैं तुम्हें विश्वास करने के लिए समय नहीं है क्योंकि वह केवल चार घंटे के लिए यहाँ है, और मैं जा रहा हूँ उसे देखने के लिए जा रहा हूँ।",2
एक नाटकीय आलोचक बनो!,1
"हाँ, उस समय को जमे हुए झील पर याद है?",0
और मेरा नाम इस्तेमाल करना बंद कर दो!,2
"मैं तुम सबसे अच्छा मैं कर सकता था, एक मिला क्योंकि यह नहीं है जहां आप स्कंप करना चाहते हैं।",0
"ओह, मैं यह कभी नहीं कर सकता था।",1
"मैं पागल नहीं हूँ, ठीक है? मेरा मतलब है, यह कभी ऐसा नहीं था।",3
ये क्या हैं?,0
तो तुम कैसे जानते थे कि मैं यहाँ भी था?,3
Hey guys check it out! My mom sent me the paper!,1
ओह. मैंने सोचा था कि यह लंग आइलैंड की तरह था.,3
जैसे क्या?,3
"अच्छी तरह से, सुसन, मैं क्या एक अंधेरा छिद्र लगता है देखता हूँ. प्रतीक्षा. हाँ, यह वास्तव में एक अंधेरा छिद्र है.",0
"अच्छा है, जब वह अपने कुंजियों के लिए वापस आएगा, मैं निश्चित रूप से उसे आपके जूते देंगे।",0
आप अब पेड़ से क्षमा करें या मैं बैकअप के लिए बुला रहा हूँ. बैकअप! बैकअप!,2
गॉड-बाई।,0
"मैं सचमुच इस अपार्टमेंट की गुम हो रही हूँ. आप जानते हैं, बेन-बेन अपने पहले कदम वहीं पर ले गया था.",4
हाय! पीट की लड़ाई तक कितनी देर है?,0
"खैर, मैं इसके बिना जी सकता था।",0
ओह Phoebe!,1
मैं नहीं जानता!,5
हमें कुछ के लिए सिर सौंपना होगा।,0
"ओह, चलिए! तुम लोगों को मेरे बारे में बता रहे हो?",3
"यह कोई बड़ी बात नहीं है. अरे, तुम्हें पता है, आप क्या करना है क्या करना है. ठीक है?",0
"हाँ, 4:00 पर।",0
": ठीक है. अरे, आह, आप आना चाहते हैं? मार्जी के एक girlfriend है।",0
"हाँ! और उसने सचमुच बुरे बातें कहा, जो केवल आंशिक रूप से सच थे।",4
"ओह! ठीक है. अब, हम ऐसा न करें!",2
"यह एक अजीब कहानी है, वास्तव में।",0
क्या हम इस दृश्य को पूरा कर चुके हैं?,3
उसने पहले मेरा शुरू किया!,2
"तुम यहाँ lipstick है। यह ठीक है, यह मेरा है, हम बस चुंबन किया है।",0
"नहीं, यह काफी है।",0
"अच्छी तरह से, यह इसलिए है कि मैं आप पर भरोसा करता हूँ, आप मेरे सबसे अच्छे मित्रों में से एक हैं, और तुम मेरे पास चला गया जब मैं रिंग पुस्तिकाओं को देख रहा था.",2
डॉक टर कहते हैं कि यह एक needle होना चाहिए.,0
अगर आप के पास बड़ा फ्लैट है तो आपको हमेशा आने वाले लोगों के साथ काम करना होगा।,0
सारा टटल के निजी अति विशेष अंतरिक्ष शिविर का परिचय!,1
मुझे यह दे दो।,0
तुम कैसे हो रहे हो?,0
धिक्कार! मैंने सोचा था कि यह बहुत रोमांटिक होगा!,3
"ओह हाँ, अच्छी तरह से मैं सिर्फ फिर से मोती पहनने शुरू किया।",0
"देखो, मैं यहाँ एक फ़रियाद माँग रहा हूँ. यदि मैं यह उसके भाई के लिए करता हूँ, शायद Angela मेरे पास वापस आ जाएगा.",6
मैंने कहा है! ठीक है?! लेकिन यह Joey खत्म हो गया है!,2
"हाँ, मुझे लगता है कि जब हम hammer darts का आविष्कार किया था कि हम उससे विदा कर दिया था।",1
"चलो, वह तुम्हारी माँ है!",2
बहुत धन्यवाद।,1
और यह कोई बात नहीं है।,2
"रिंग धिक्कार, रिंग!",2
"नहीं, मैं करूँगा. मैं सिर्फ इस रात के लिए तैयार नहीं हूँ.",0
"तो, uh, वह कैसे है?",4
सबसे अच्छा आदमी? वाह!,3
"ओह, धन्यवाद. आप स्वागत हैं.",1
"ठीक है, एक नए परिवार के लिए यह समय है कि वे यहाँ अपने स्मरण शुरू करें और आशा है कि उनके चेक खाली हो जाएगा इससे पहले कि वे आधार में crack और छत में asbestos ढूंढेंगे.",0
"सुनो प्यारे, अगर मैं गेंद को बहुत ज्यादा खींच रहा हूँ तो तुम सिर्फ वहाँ में फँक जाओ और एक जोड़ी  punches ले लो क्योंकि मैं तुम्हें कह रहा हूँ, यह लगता है",0
"हं, कुछ नहीं. मेरा मतलब है, मैं अगले सप्ताह शादी कर रहा हूँ.",0
हारून! तुम मुझे छोड़ देना चाहिए. आदमी hammered है!,1
ओह!,0
"ठीक है, लेकिन मेरे पास बैलरूम नृत्य फाइनल के दो टिकट हैं।",0
"ओह. ओह! माम? माफ करें, माम?",0
क्या हो रहा है! कि क्या हो रहा है!,2
"नहीं, चंडलर.",0
तुम मेरी ओर देखते हो और कुछ भी नहीं।,0
जानना कि कब रुकना है।,0
"ओह, कोई भी तुम पर फ़ैसला नहीं करता।",0
मैं?,3
देखो हम एक तिथि पर एक खर्च सीमा निर्धारित करने के लिए जा रहे हैं।,0
"यह वास्तव में सही नहीं था, और मैं, और मैं यह करने के लिए आप के लिए करना चाहता हूँ, तो हं, मैं आपको कुछ लाया है कि मैं सोचता हूँ कि आप वास्तव में आनंद लेगें।",2
धन्यवाद प्यारे दिल. मुझे यहाँ थोड़ा चीनी दे दो. ठीक है.,1
"नहीं, मैं आप से बात नहीं कर सकता! मैं पीले पृष्ठों में एक आकर्षक विज्ञापन नहीं है!",2
"hey मोनिका, यह चिप है।",0
थोड़ा बड़ा।,0
"ठीक है, देवियो और सज्जनो, चलो चुप्पी।",0
"बस यह बहुत तेजी से करें, और तब घाव खुला है।",0
ओह. धन्यवाद.,0
"हम प्राकृतिक इतिहास के एक संग्रहालय में काम करते हैं, और फिर भी हमारे खाने के तरीके में कुछ अस्वभाविक है।",0
क्या बच्चा है।,4
और तुम सब पर लानत है,6
तुम मेरे निजी संपत्ति के माध्यम से चला गया?,2
मैं कॉफी हाउस गया!,0
"चलो, रोस? कॉलेज में वापस याद है, जब वह कैरोल से प्रेम किया और उसे कि ridiculously महंगा क्रिस्टल डक खरीदा था?",0
"ओह, आर्द्र, हाँ.",0
राच क्या हो रहा है?,1
"अच्छी तरह से, आप समझते हैं कि ऐसा होने की संभावनाएं थोड़ा कम है अगर वे कभी आदमी से मिल नहीं पाते..",0
"देखो, देखो, वहाँ एक तरीका है कि हम इस से बाहर काम कर सकते हैं।",4
"ओह, लिलीज़. जोय, वे मेरे पसंदीदा हैं. धन्यवाद.",1
हेलो प्यारा।,0
तो?,0
और आप चाहते हैं कि वह अपने दिल को बाहर खा जाए तो आप fabulous लगना होगा!,0
"मैं..., जिंगल? नहीं, नहीं-नहीं, नहीं.",0
मोनिका! मैं इसे बिगाड़ नहीं जा रहा हूँ!,2
"अरे, आप जानते हैं, मैं आप लोगों और आपके कैंसर और आपके emphysema और आपके हृदय रोग के साथ यह किया है।",2
"और फिर Ross का नया girlfriend, Bonnie, प्रकट होता है और रेशेल उसे अपने सिर को बचाने के लिए आश्वस्त करता है।",0
वे बहुत अच्छे लगते हैं! क्या आपके प्रेमी का सबसे अच्छा स्वाद है या क्या?,1
"कुछ नहीं, कुछ नहीं।",1
"हाँ, ठीक है, वह शायद रिचर्ड से बात कर रही है।",0
"हाँ, हम उसे वापस मिला. सब कुछ ठीक है.",0
"सफेद कोट पहने लोगों और नीले ब्लैजर पहने लोगों के बीच विभाजन, और मैं अपने आप से पूछता हूँ, ""मेरे भगवान क्यों?!""",5
"अच्छा, रेकेटबॉल नहीं खेलते!",3
क्या?! क्या?! वह मुझे खुश करने के लिए प्रयास कर रहा था! मेरा पोनी बीमार था.,3
उसे कुछ पैसे दो।,0
और आप हमारी उम्र है. आप हमारी उम्र है.,3
"ठीक है, ठीक है।",2
"हाँ, मैं सोच रहा था कि शायद हम टाइम स्क्वायर में जा सकते हैं और कुछ Ninja स्टार उठा सकते हैं।",0
मुझे ऐसा नहीं लगता!,1
"ठीक है, मैं नहीं... लेकिन मैं था, मैं तुम पर मात था!",4
"सौभाग्यवश, वह आदमी जिसके लिए उसने तय किया है, आप के बारे में क्या बात कर रहे हैं सुन नहीं सकता।",0
"ओह हाँ, मैं शायद उन्हें बुलाना चाहिए।",0
"ठीक है, सुनो, यह महान रहा है लेकिन मैं आधिकारिक रूप से मिटाया गया है।",0
लेकिन आप मुझे उनके साथ नहीं छोड़ सकते! हम एक टीम हैं! हम एक क्षेत्र खेल रहे हैं! वे मेरे तीन टीम जा रहे हैं!,2
आह!,2
"ठीक है, मैं हूँ-मैं सिर्फ खुश हूँ कि मैं, तुम्हें मदद कर सकता था, पता है।",0
"नमस्कार, मैं बेन हूँ. मैं अस्पताल के कर्मचारी बेन हूँ. यह बेन है... बचाव के लिए!",1
"ओह, यही कारण है कि तुमने उस नाटक के लिए ये टिकट प्राप्त किए, हम से छुटकारा पाने के लिए??",2
मैं जानता हूँ. मुझे अधिक पी की जरूरत है.,0
"नहीं, यह नहीं है।",0
"अच्छी तरह से पहले, आप को एक विवाहित स्नान फेंकने को भूलने के लिए.",4
हो?,0
मैं क्यों डरता हूँ?,0
"ओह, चलो!",1
मैं कैसे भूल जाऊँगा?,3
"ओह, मुझे खेद है. मैं इतना बर्बर हूँ. कोई भी सिनेमा में आना चाहता है?",0
"हाँ, अच्छी तरह से, क्या वह परेशान लग रहा है? क्या वह ऐसा लगता है कि उसे बस कुछ shove करने के लिए कहा गया था?",0
"आप जानते हैं क्या, हम अपने प्रतिलिपि की जरूरतों के बारे में दूसरी सोच रहे हैं. और हम इसके बारे में सोचने के लिए थोड़ा और अधिक समय की जरूरत है.",0
"अब, आप देख रहे हैं, अधिकांश लोग, जब उनके जानवर आगे बढ़ते हैं, वे उन्हें ऐसा लगता है कि वे सो रहे हैं के रूप में खुलना चाहते हैं.",0
नूह-अह.,5
"हम मंच पर थे, नई सहस्राब्दि में दुनिया को नाचने के लिए तैयार थे, और आदमी ने चिल्लाया, ‘CUT!’",2
"ओह, मैं जानता हूँ और वह soo मधुर है! सुनो, उसने कहा था कि वह कॉल करने के लिए जा रहा था, तो उसे सीधे माध्यम से डाल.",1
"ओह हेनी, मुझे बहुत अफसोस है, तुम सही थे, यह बहुत अच्छा लगता है!",1
क्या हुआ?,0
मैं इसे नहीं पाया?,0
"चंडलर, मेरी सुनो प्यारा, मैं जानता हूँ आप यह कर सकते हैं. ठीक है? आप एक सुंदर मुस्कान है.",0
"boyfriends और girlfriends आते हैं और जाते हैं, लेकिन यह जीवन के लिए है!",2
चलो स्कोचिंग की कोशिश करें!,1
थ्रेड!,1
"ठीक है, ठीक है, ठीक है, ठीक है! ठीक है! ठीक है, यहाँ कुछ है, यहाँ कुछ नीला और नया है।",1
"चलो मोनिका, यह हमारे वॅलेंटाइन डे है. कृपया? कृपया-कृपया, कृपया?",4
यहाँ तुम पीहब्स जाओ. अन्य कौन मेरी विशेष homemade ब्राउनी से एक चाहता है?,0
"क्षमा करें, गलत नंबर.",5
यह जोय के साथ करने के लिए है?,0
"मुझे खेद है, मुझे खेद है, आप सही है. चलो, यह करें, यह करें, जाओ, चलो!!!",2
वह हमारी शादी में नहीं खेल सकता!,2
ओह! आपके पास एक खिड़की है!,3
मैं आप की मदद कर सकता हूँ?,0
यह-यह महान है!,1
नहीं,0
"आप लोग मुझे उड़ाने के लिए बनाते हैं! उच्च! ठीक है, हम इसे यहाँ उठाने के लिए जा रहे हैं, कल.",1
"ओह हाँ! हाँ, नहीं, हम कनेक्ट करने के लिए जा रहे हैं, y'know बांड, और सब कुछ.",1
अरे छोटा आदमी!,1
या हम सिर्फ आपके चुने हुए मजाक का अनुसरण कर सकते हैं-कुछ विचार?,0
"प्रकाश. उह, रोमानी प्रकाश.",0
सचमुच? क्योंकि मैं एक तरह से पैसे का उपयोग कर सकता था.,3
"Hey, क्या तुम लोग भी ऊपर रहे हैं?",0
"सुनो, हमें यह एक अतिथि कक्ष बनाने के लिए नहीं है, हम एक साथ कमरे के साथ कुछ करने के लिए कुछ सोच सकते हैं।",1
देखो? देखो? यह इसलिए था कि तुम चरबी के रूप में व्यर्थ दिख रहे थे!,2
"नहीं, मेरा मतलब है यह ठीक है, मेरा मतलब है, वे-वे मेरे दोस्त हैं।",0
शायद।,0
इसीलिए तुम मुझसे अलग हो गए?,3
मेरा नाम Ross Geller है।,0
कौन? तुम कौन जानते हो कि सिर्फ दोस्त हैं कि चारों ओर मूर्ख?,3
ओहहहहहहहह।,3
"मैं तुम्हें जानना चाहता हूँ, यह मैं नहीं था जिसने तुम्हें अंदर भेजा.",0
"वैसे भी, यह सिर्फ 3 लोगों के लिए एक पूरी टर्की बनाने के लिए उचित नहीं लगता है। ठीक है? यह बहुत काम है।",0
धनुष?,0
"चिंता मत करो, मैं वास्तव में एक पार्टी लड़की नहीं हूँ।",0
"ठीक है, लेकिन यह आसान नहीं होगा अगर आप मुझे कुछ बताना है कि आप मुझे बता सकते हैं अगर आप मुझे बताना था.",0
यह पूर्ण है।,1
अब आप जानते हैं कि आप वास्तव में इसके बारे में क्या महसूस करते हैं।,0
"तो, क्या मैं कुछ मिठाई ले सकता हूँ?",0
मैं जानता हूँ! क्यों मत मत जाओ! कि मेरे हाई स्कूल में बहुत से लड़कियों के लिए काम किया.,2
